shipment_id,shipment_date_id,order_id,product_id,warehouse_id,quantity_shipped,lead_time_days
81,541,35283,7291,1,4,22
82,244,59265,7734,10,145,8
83,166,174607,5649,4,151,12
84,846,32105,6503,6,7,30
85,720,35140,5030,8,291,10
86,403,74061,6906,9,374,6
87,379,64204,4231,7,58,29
88,407,136918,1085,9,164,9
89,108,161984,6736,6,210,15
90,362,9335,2282,7,252,17
91,519,12625,4329,10,287,19
92,1084,118451,2847,1,179,20
93,862,21471,3959,7,83,12
94,588,148316,5647,3,431,9
95,526,71295,3053,7,157,7
96,1009,17847,7978,6,487,13
97,769,111603,1940,8,28,9
98,292,29679,3809,2,234,13
99,270,10241,5425,7,20,22
100,458,40443,5793,10,477,14
101,243,37988,6838,8,295,13
102,44,146663,6423,2,287,18
103,466,38800,5947,9,487,7
104,703,26460,4218,7,277,21
105,132,40606,7159,6,305,21
106,68,159850,3250,1,422,26
107,1019,61902,2429,3,152,9
108,197,14700,2011,1,477,3
109,875,130680,3836,8,160,13
110,1017,169470,1118,2,250,7
111,402,140199,1153,9,15,7
112,389,50532,5866,8,480,1
113,308,131528,4528,5,394,5
114,43,83627,2797,9,446,23
115,528,51794,5549,3,259,10
116,507,120740,6615,3,294,30
117,913,101273,5131,9,218,12
118,449,101666,7402,2,216,13
119,786,26347,4265,5,386,4
120,70,5778,353,1,158,4
121,400,653,1950,8,105,27
122,751,36531,2245,8,251,1
123,38,36009,2949,5,489,2
124,992,67436,3195,7,404,8
125,270,41605,4229,4,281,27
126,1065,133884,6389,1,155,5
127,228,157172,7537,7,375,5
128,833,127266,6744,6,247,7
129,1044,82211,1094,1,121,15
130,381,133133,5362,5,423,3
131,880,3604,6936,5,396,9
132,806,121132,7263,10,233,18
133,769,54793,4128,2,300,14
134,302,70666,5779,4,450,23
135,477,23739,5966,9,160,1
136,980,90977,5345,9,222,19
137,448,58076,7292,3,275,23
138,688,157201,3780,9,105,14
139,890,32996,5047,8,435,4
140,228,32604,531,6,74,2
141,495,20058,5157,2,485,13
142,1059,80247,4715,6,28,17
143,829,2968,2258,9,166,1
144,791,159563,185,8,498,19
145,220,132759,6520,7,61,17
146,941,110872,267,6,330,9
147,390,72958,1838,3,131,13
148,1049,1429,3852,3,202,15
149,729,45389,3687,2,102,23
150,624,114100,5592,1,451,21
151,939,3976,4104,9,331,9
152,337,114482,1815,10,288,22
153,240,175437,7178,9,284,25
154,1052,123161,2505,4,336,29
155,554,14631,415,7,493,6
156,369,112433,4387,8,236,9
157,424,51552,2436,7,396,13
158,482,76016,5941,9,441,27
159,4,91005,1103,7,315,2
160,645,112613,5799,3,415,5
161,808,24261,4920,8,140,16
162,185,45544,3686,1,255,12
163,506,40261,6758,10,474,16
164,553,303,3527,8,255,2
165,469,50304,7307,5,490,18
166,850,74675,2713,2,116,5
167,3,99537,3184,7,271,30
168,1009,52629,2433,10,230,22
169,384,110823,5340,8,282,4
170,25,160971,2913,4,141,9
171,198,26845,1167,5,365,17
172,990,144549,1018,6,353,18
173,255,45844,1777,7,250,15
174,881,30762,3217,2,368,2
175,900,102063,3705,8,75,16
176,416,23471,7277,2,407,9
177,106,106086,4418,2,275,24
178,809,52144,800,7,182,15
179,757,62822,1121,10,257,9
180,1020,167708,4635,9,480,14
181,695,96924,6035,7,203,4
182,616,33653,883,7,51,11
183,411,78734,2119,5,58,18
184,97,167803,6095,1,394,29
185,1021,32519,5985,4,351,12
186,763,7639,1817,4,383,8
187,1046,155958,2497,1,197,24
188,58,160481,5943,2,436,29
189,394,51052,7177,6,496,10
190,846,169566,375,10,1,17
191,622,90997,7661,2,442,25
192,421,125781,3986,2,367,9
193,453,119087,2161,9,240,20
194,289,76158,6443,7,302,4
195,623,74612,7628,8,258,30
196,461,93487,44,10,286,10
197,918,6740,6132,6,485,17
198,369,57897,7648,9,333,7
199,243,63011,5473,10,409,25
200,735,161867,3409,2,499,17
201,100,55059,2426,5,379,17
202,556,152713,4679,4,491,27
203,374,178795,972,1,468,14
204,186,36375,5534,1,150,1
205,387,142951,7002,10,180,8
206,900,92097,5457,2,127,21
207,55,121906,5775,2,260,1
208,587,12792,1379,7,362,17
209,614,25110,833,2,292,2
210,731,17560,7366,5,478,18
211,656,55729,775,4,405,26
212,611,22034,1708,8,439,17
213,14,164195,3586,7,84,3
214,424,172914,3564,8,196,20
215,258,132827,7368,6,399,26
216,385,113761,2392,2,188,7
217,829,178757,6136,9,44,19
218,623,154017,1699,4,112,23
219,706,125879,44,10,153,12
220,555,21322,5184,1,18,3
221,601,101387,5567,7,197,17
222,728,127933,232,9,219,20
223,635,89824,4555,6,396,18
224,622,129687,2294,4,314,7
225,425,93110,6293,5,460,14
226,413,137886,2564,10,175,18
227,104,38051,866,9,209,30
228,192,170873,2686,3,236,22
229,285,151969,6227,5,206,22
230,583,157694,5773,10,205,18
231,398,76906,650,8,148,15
232,743,6846,2371,7,444,18
233,247,151835,518,9,203,26
234,77,100102,4073,1,264,4
235,697,176151,2429,9,11,11
236,41,92602,1230,7,325,11
237,1013,23196,718,9,83,30
238,686,136517,1342,6,387,2
239,984,43475,980,1,240,18
240,650,77214,2119,2,413,28
241,856,102051,5803,1,500,21
242,412,128354,7347,10,171,11
243,210,58320,261,5,93,17
244,997,1081,708,4,35,14
245,909,119925,6815,10,95,6
246,675,7984,5275,7,240,11
247,834,10211,4786,6,429,12
248,94,75925,1513,8,132,1
249,781,132743,7524,5,42,2
250,693,85426,1927,5,463,10
251,858,38259,2094,3,279,15
252,481,107892,6636,10,160,25
253,441,105648,2463,9,380,27
254,463,14826,6593,5,121,18
255,698,109631,7413,8,58,3
256,277,173698,2110,5,126,1
257,840,165353,6909,10,285,3
258,416,14671,4453,3,262,14
259,887,55712,1191,3,378,12
260,895,92897,4028,2,112,18
261,266,172744,2699,3,245,7
262,696,35308,800,2,47,9
263,483,39823,3794,6,266,27
264,65,143446,4398,10,500,11
265,1006,110359,4244,5,272,28
266,817,26857,7660,4,304,3
267,941,47324,6582,5,367,21
268,51,65203,4752,8,350,19
269,535,64270,4229,6,442,13
270,891,125486,6267,9,20,4
271,686,172432,691,6,260,25
272,846,22271,5936,9,166,19
273,767,69148,6975,6,412,4
274,860,47970,1682,8,329,10
275,14,158564,2285,4,246,28
276,556,126979,2601,1,499,18
277,181,125383,5709,9,390,28
278,584,22102,482,5,6,26
279,44,141837,5911,1,414,28
280,457,96715,507,1,176,29
281,358,39240,7156,1,246,7
282,604,53069,4702,6,275,3
283,688,78644,6004,9,171,2
284,1014,49652,5420,7,50,14
285,854,125088,7921,3,52,8
286,969,125549,1271,2,191,30
287,440,125354,6370,7,292,27
288,186,85678,1721,7,252,28
289,325,39454,5037,3,486,3
290,269,75449,7289,7,278,16
291,363,50912,3156,9,148,5
292,1074,155799,1926,8,295,4
293,434,51835,5321,1,335,26
294,1014,174357,1795,9,500,3
295,1043,161246,5604,3,56,19
296,728,46527,2138,5,52,9
297,957,92924,2628,9,25,11
298,199,128501,5105,2,450,26
299,118,5704,405,1,83,3
300,438,60354,4481,1,259,1
301,460,52045,1392,10,67,30
302,752,151587,6387,4,481,19
303,673,147798,1228,5,10,17
304,250,40472,7481,8,390,22
305,853,57399,3609,3,211,17
306,950,44927,618,2,208,7
307,326,16848,6490,1,206,20
308,588,132783,1018,3,120,11
309,916,35283,6359,1,268,21
310,384,69557,2211,3,203,8
311,305,164759,288,7,14,23
312,778,48051,5553,5,312,20
313,741,107751,4092,2,287,20
314,741,81042,7000,2,243,14
315,354,49587,4393,5,139,17
316,159,75506,7490,9,396,29
317,138,114304,3573,6,29,23
318,22,147742,1373,4,168,3
319,1068,19304,2298,8,89,5
320,749,126037,4312,6,335,30
321,602,2440,738,6,391,4
322,879,62046,4661,8,168,30
323,801,86452,1740,2,184,15
324,412,124420,3159,1,462,13
325,609,71820,3015,8,113,12
326,247,123806,1275,2,464,16
327,905,50017,7340,9,166,13
328,671,76856,2790,2,375,14
329,1031,177831,7903,10,112,26
330,305,70004,2728,3,469,23
331,379,54282,6784,10,391,21
332,945,147196,677,1,328,6
333,1012,6674,314,10,280,15
334,557,68515,7065,5,410,21
335,40,113206,6899,3,23,30
336,1044,18802,7573,1,22,9
337,298,72537,6889,2,108,28
338,1092,1011,7786,9,202,9
339,208,1035,4989,1,313,28
340,1020,20474,4428,10,170,13
341,603,72256,5915,6,261,19
342,43,89349,1877,10,465,11
343,58,90132,3149,5,279,30
344,730,173956,5244,3,414,16
345,603,73104,3835,6,243,4
346,473,123596,4287,5,446,7
347,521,39187,1019,5,133,5
348,615,27222,6289,3,17,5
349,489,95767,5812,3,170,13
350,173,157292,5455,9,122,8
351,615,29584,1613,6,244,15
352,831,2346,1219,4,171,11
353,1015,86722,4779,8,46,18
354,1091,19884,4961,7,488,12
355,907,123148,4142,9,248,15
356,110,102065,6288,6,108,25
357,469,178378,7609,8,344,5
358,537,62027,2203,8,63,16
359,1065,101747,1490,2,158,30
360,244,26495,1245,2,376,16
361,814,137975,197,2,112,19
362,283,112188,7227,10,271,10
363,1083,55310,5993,6,450,5
364,423,162023,4177,9,106,3
365,799,58534,127,1,447,9
366,482,123715,3796,4,149,13
367,28,160713,5629,3,94,20
368,25,38469,4639,1,92,10
369,496,72097,1826,1,267,16
370,321,103404,3095,9,134,23
371,954,63554,3041,1,109,6
372,646,8855,5107,6,98,29
373,75,89083,6451,8,82,27
374,354,56228,811,5,230,21
375,418,104560,7367,5,272,17
376,838,114401,6819,3,393,14
377,944,69955,2006,7,426,26
378,332,6081,1952,4,345,19
379,276,117822,3095,4,84,3
380,865,175422,6473,4,179,18
381,165,144434,6582,5,345,25
382,437,158978,2161,8,181,27
383,788,112490,5599,9,135,16
384,509,136930,3277,2,459,20
385,346,31276,5441,6,177,27
386,657,32485,6359,5,378,17
387,683,138186,5597,7,15,28
388,674,152682,7457,8,433,26
389,173,10862,7820,5,484,24
390,1011,15740,3988,2,20,11
391,410,99534,1726,8,201,10
392,932,129874,2719,6,171,11
393,302,17000,6901,4,476,3
394,223,46014,2703,9,283,30
395,921,82285,4142,7,301,15
396,969,8024,4969,3,195,22
397,447,130025,1567,5,298,2
398,418,63580,4984,1,14,14
399,52,145814,7176,7,319,13
400,907,79370,5357,2,21,2
401,939,175593,303,2,214,27
402,1052,66256,5491,4,445,7
403,8,44097,1647,10,58,13
404,107,162876,7291,3,252,26
405,676,124721,4231,8,35,16
406,150,130834,7729,9,225,11
407,773,24615,660,4,72,16
408,970,95943,4053,1,87,8
409,1035,164180,611,4,238,11
410,32,75993,379,7,109,19
411,757,142702,2534,3,269,23
412,932,105061,221,7,285,24
413,80,163171,6909,3,164,14
414,1034,148535,1605,10,112,21
415,206,30055,6465,3,154,21
416,641,107422,4087,10,449,8
417,708,35395,6873,7,497,10
418,461,143509,6026,8,121,13
419,898,39527,6129,5,99,26
420,879,167314,3019,7,245,21
421,77,156209,4391,6,283,30
422,892,127467,6947,3,389,16
423,895,30882,857,2,107,22
424,893,1260,3256,3,374,17
425,807,73893,7410,2,217,11
426,876,47450,5543,2,187,7
427,929,175010,6131,4,226,15
428,420,120658,7300,7,191,4
429,312,173845,3978,7,278,12
430,327,37246,5519,7,200,23
431,449,152823,7678,4,132,25
432,547,116921,1539,1,180,1
433,343,25259,4597,1,256,10
434,567,108013,5215,4,384,10
435,518,64499,6934,4,249,20
436,957,65803,4428,9,81,22
437,906,72918,7331,6,462,17
438,95,75058,6890,5,78,29
439,111,48652,1238,3,466,17
440,484,72283,5615,8,243,4
441,523,130871,5588,4,317,3
442,349,4470,6948,3,63,1
443,506,29495,4171,6,172,13
444,938,31943,4792,5,311,10
445,1032,33356,6364,4,441,4
446,378,141525,7943,7,104,8
447,884,43069,7470,5,126,9
448,141,44141,2718,3,335,23
449,285,145353,1198,6,291,21
450,7,155515,581,8,14,20
451,688,3829,5238,5,370,18
452,631,148387,7618,6,292,27
453,854,20557,4747,3,445,10
454,553,17974,6978,10,357,16
455,107,131317,3858,4,473,2
456,657,9840,5557,5,141,29
457,161,157592,4074,10,378,27
458,264,173793,4703,6,424,8
459,768,55369,774,1,321,24
460,598,93232,1589,6,26,20
461,666,14216,1388,1,269,7
462,428,109421,7710,10,427,5
463,403,39729,5030,1,51,12
464,780,62906,6474,1,273,29
465,438,94655,7346,7,407,10
466,302,160955,475,8,295,9
467,522,160630,1482,9,311,10
468,274,98210,5694,8,120,11
469,217,64695,936,5,440,20
470,630,137964,2221,4,290,9
471,224,62589,3827,2,26,23
472,384,127100,2249,9,257,10
473,181,2084,3977,3,211,6
474,40,21977,2171,8,275,27
475,97,143755,1205,5,126,21
476,1014,133187,4140,6,281,11
477,507,33299,3713,5,366,15
478,653,143655,7494,2,473,6
479,694,33148,848,8,128,1
480,842,97468,2763,2,203,11
481,56,95455,4088,9,26,22
482,18,174749,3875,3,202,16
483,799,148921,1062,6,95,17
484,777,176677,2627,3,465,1
485,752,164020,7742,7,299,22
486,496,161694,6803,8,332,23
487,282,15727,1024,4,213,19
488,719,117815,5678,5,404,29
489,988,85910,5174,6,482,29
490,1046,119082,6588,7,121,5
491,507,71615,5480,10,24,11
492,889,94619,5563,7,451,27
493,181,9503,174,6,441,9
494,326,69983,4911,4,137,18
495,1084,53117,3919,10,413,21
496,917,125502,5842,5,319,17
497,874,109142,1468,8,470,11
498,582,167286,170,3,217,10
499,671,44107,1271,3,270,19
500,443,7131,2661,9,333,5
501,578,117539,1380,8,284,27
502,681,12715,1260,2,376,6
503,66,67162,3933,6,452,6
504,767,31311,7414,8,316,25
505,984,148855,3487,10,429,27
506,224,112744,3573,9,384,26
507,1089,30657,7608,4,168,13
508,302,146460,3316,10,452,21
509,504,11146,4782,2,146,10
510,208,177914,284,4,133,25
511,734,127482,1536,10,333,17
512,111,165092,1514,5,241,9
513,1008,145019,3750,9,153,7
514,210,167590,1253,4,366,10
515,102,24724,1973,7,430,29
516,55,143683,1725,10,305,16
517,343,10079,669,6,116,27
518,304,94039,3489,2,64,22
519,932,157763,3453,8,138,17
520,298,158370,4774,3,335,2
521,88,55245,7507,1,340,7
522,314,51070,374,5,459,11
523,497,20821,7934,10,4,6
524,627,23004,7725,6,249,16
525,30,97398,5148,7,235,8
526,229,7775,7566,1,44,4
527,1059,136044,5769,10,365,4
528,289,146275,557,3,89,23
529,327,77380,4419,9,285,30
530,303,69003,1049,6,266,14
531,19,61463,4185,3,332,9
532,382,21528,1136,5,499,22
533,491,73864,7445,5,451,28
534,472,117100,974,2,209,1
535,842,158889,540,10,211,23
536,749,54522,5289,9,431,18
537,942,52849,5635,7,20,11
538,1002,24930,7462,10,98,25
539,304,96030,7756,3,226,16
540,315,114640,1583,5,60,19
541,48,54665,3486,7,426,24
542,805,80073,2287,5,377,7
543,592,29773,3319,1,367,24
544,428,106244,7595,9,356,24
545,692,125594,5422,2,70,6
546,165,27115,4083,10,420,17
547,660,39805,2198,6,233,7
548,219,74791,6110,6,498,21
549,694,177884,5762,10,441,20
550,878,65093,3501,3,459,21
551,483,147387,1290,7,262,8
552,1025,20534,2643,4,283,1
553,124,134534,4423,8,444,9
554,548,62875,929,3,404,7
555,547,107652,2747,9,151,29
556,85,4915,1779,4,82,13
557,587,115734,534,6,448,3
558,375,89955,5404,2,261,12
559,296,45996,6389,7,160,16
560,207,22115,6109,6,330,18
561,872,155995,1557,6,20,14
562,642,42077,4087,2,78,13
563,317,169825,3250,5,156,25
564,319,67431,289,6,466,3
565,566,154070,12,6,215,22
566,1043,66824,5566,9,94,20
567,63,42754,3880,10,135,22
568,326,31796,1497,5,376,15
569,470,8363,3407,3,287,2
570,693,53171,508,4,278,19
571,138,101415,5342,8,334,24
572,9,28705,6094,9,408,9
573,388,119951,1451,5,470,5
574,170,16209,1473,10,334,15
575,407,127740,6565,1,158,20
576,958,173413,2431,8,476,14
577,458,79321,2904,2,311,2
578,542,62026,5091,1,230,14
579,986,156254,4261,3,146,17
580,877,86898,6650,8,202,26
581,885,132591,2104,6,301,20
582,361,37698,1154,9,127,12
583,180,145009,4149,1,41,20
584,1001,173737,369,3,207,30
585,510,111418,2545,7,311,13
586,1070,134249,6073,2,256,16
587,164,119378,5358,7,394,24
588,949,62516,7581,6,2,14
589,186,109669,7447,8,124,7
590,771,100090,3477,2,319,16
591,570,141913,2934,7,281,29
592,957,79394,7429,4,440,16
593,67,22727,5872,10,333,21
594,299,19146,4075,1,315,22
595,170,109089,3703,6,127,10
596,968,87410,1421,7,385,1
597,658,81053,1143,10,308,9
598,1015,6998,3749,1,214,10
599,791,753,7909,1,454,21
600,598,32157,3349,6,59,22
601,592,60983,7912,7,216,1
602,246,67993,3530,4,154,23
603,218,114579,1163,5,411,1
604,944,37605,4430,6,202,29
605,541,100825,3462,1,306,27
606,451,9762,571,5,19,21
607,836,158902,2558,5,45,24
608,342,84889,2526,3,75,14
609,534,82787,6680,10,32,6
610,407,29299,460,5,399,14
611,638,94929,3633,6,101,17
612,931,140685,3110,7,78,5
613,442,14591,5908,9,458,17
614,896,67834,963,2,445,3
615,136,118797,440,2,488,3
616,374,118958,4960,1,459,24
617,25,57776,408,10,12,5
618,615,89164,1521,1,32,27
619,543,57572,2937,8,237,19
620,690,86416,647,5,385,21
621,208,143801,6013,1,456,29
622,273,37137,2538,3,181,28
623,242,151596,3330,4,186,30
624,818,3965,6646,10,29,29
625,797,134831,2809,8,381,3
626,395,16864,661,8,8,15
627,820,162679,7950,4,296,25
628,660,41714,4504,7,146,23
629,119,19643,5122,1,472,13
630,966,11542,2079,6,7,14
631,185,85354,3233,1,418,21
632,441,164007,5680,8,256,20
633,30,85899,7636,4,111,12
634,366,104181,1017,7,361,3
635,733,55439,2453,9,430,30
636,879,39923,2868,9,393,25
637,849,62336,7092,9,12,12
638,672,57630,1352,8,203,18
639,1046,108723,843,10,239,21
640,51,77749,5196,8,277,15
641,423,101616,6704,7,353,29
642,174,138511,2073,9,293,26
643,447,153075,1245,4,223,27
644,526,133445,6553,8,403,1
645,530,103484,7117,8,158,12
646,546,157027,7400,7,114,5
647,754,172155,333,7,459,3
648,233,45879,7118,5,24,4
649,1,52174,141,4,119,16
650,380,79955,6271,10,64,4
651,271,55825,1400,1,321,3
652,681,123859,232,2,284,9
653,172,38388,5762,9,80,7
654,509,152347,2004,8,380,28
655,467,166619,2621,1,357,21
656,237,2073,6978,9,260,28
657,921,88420,5862,4,227,29
658,71,19759,6821,5,191,30
659,708,149805,6409,2,85,28
660,1044,150059,1121,6,478,5
661,494,34814,1454,2,9,25
662,285,55911,3250,3,156,6
663,1002,104511,5397,2,240,28
664,432,11804,6961,5,234,30
665,1009,23941,2617,8,231,12
666,144,75067,5012,3,431,4
667,437,64794,1320,3,481,20
668,724,72347,7628,7,434,2
669,754,21030,5251,9,116,12
670,783,164771,3944,9,492,5
671,890,36642,221,5,478,19
672,357,68252,625,10,397,23
673,512,71712,764,2,241,7
674,8,5483,4833,8,67,5
675,1065,94563,3388,4,489,16
676,985,152464,3449,8,214,24
677,1095,92366,6291,8,478,28
678,980,73044,261,4,385,15
679,1068,16789,6595,10,269,27
680,537,81011,3548,3,169,13
681,771,119452,6826,6,390,12
682,176,140879,4237,9,254,29
683,449,164127,7464,3,342,13
684,532,4123,101,1,165,15
685,380,177831,1014,10,183,14
686,1089,177258,4657,2,65,7
687,30,23294,2388,1,147,2
688,820,117410,2421,5,296,10
689,606,87720,7545,9,34,28
690,879,43439,3121,6,491,12
691,490,165114,7735,8,102,16
692,826,71048,627,2,432,30
693,604,132,3472,3,351,27
694,764,161241,2301,5,151,10
695,168,3402,7985,9,212,7
696,601,101291,3699,6,396,20
697,446,156160,342,8,289,14
698,767,96946,1902,5,106,9
699,906,171738,7858,4,333,8
700,461,15267,3323,2,300,28
701,735,150955,4547,9,456,12
702,481,162377,1066,9,203,4
703,1090,43628,7759,8,496,4
704,260,117563,7443,8,68,19
705,535,161902,4551,9,195,27
706,107,3607,7401,6,436,7
707,278,93334,4487,5,195,19
708,847,132403,4902,10,124,24
709,1025,11377,4198,6,224,1
710,320,128381,1812,1,499,8
711,1072,145954,2249,10,236,24
712,722,25493,5341,1,110,9
713,1068,179389,1725,9,303,8
714,372,137836,4937,2,309,14
715,1002,132943,6066,7,107,14
716,692,94806,4238,10,201,12
717,510,163564,7777,4,170,4
718,650,41812,5892,3,457,24
719,26,174826,6237,8,76,4
720,811,141256,3549,5,289,6
721,374,90845,6834,4,148,6
722,1049,163097,679,1,358,3
723,235,174380,964,7,125,22
724,355,5801,2183,4,26,22
725,992,57836,2293,2,163,3
726,1034,100277,2901,6,255,1
727,278,23550,53,8,185,11
728,22,11522,3110,2,55,1
729,325,70740,7228,10,258,7
730,855,66954,6703,10,69,21
731,943,89289,6156,9,184,2
732,297,20011,6845,4,262,12
733,375,84250,5180,1,476,2
734,355,131178,6755,3,96,24
735,558,39730,7083,5,369,17
736,506,83705,1131,10,173,9
737,270,115160,2441,10,477,11
738,180,128119,6804,7,23,4
739,922,16722,7920,8,296,11
740,848,177195,3142,2,319,24
741,255,40315,2621,7,161,29
742,566,14411,6732,3,264,9
743,361,89691,1465,8,181,11
744,916,144126,4107,4,39,12
745,143,27563,4527,4,44,22
746,1066,104369,7495,8,126,10
747,669,119278,5781,7,228,29
748,864,78843,7553,5,487,14
749,485,80263,1286,2,470,20
750,520,34807,50,3,19,8
751,292,18590,7439,8,248,17
752,804,82465,7016,9,3,2
753,907,99786,2568,1,382,13
754,389,100225,2536,2,483,27
755,485,63609,3187,9,432,4
756,323,114635,5296,6,375,13
757,1076,128583,2468,7,427,14
758,337,120944,4331,6,468,15
759,1063,177377,1728,5,276,6
760,95,28424,3246,5,447,11
761,132,61319,5639,10,453,1
762,92,111686,122,1,302,10
763,21,128522,4150,3,36,21
764,919,166706,5722,9,9,22
765,714,89488,2051,4,149,26
766,134,179459,5494,7,447,21
767,1066,74789,448,3,119,3
768,172,84652,2140,1,261,8
769,55,14750,6290,10,306,20
770,377,62357,5811,5,22,8
771,1042,93894,377,1,135,3
772,852,174485,6238,8,410,28
773,285,138203,978,8,477,2
774,618,46112,3555,1,354,23
775,454,143642,5470,1,228,4
776,521,58604,5449,5,482,20
777,328,47115,2013,10,99,13
778,197,14396,3955,9,358,4
779,388,171896,6661,1,208,22
780,411,470,4168,10,250,30
781,292,113110,3447,3,403,1
782,146,28787,2879,7,360,29
783,958,92284,7676,10,467,5
784,343,24649,2316,6,250,2
785,252,178222,1276,4,361,7
786,481,46995,24,4,104,25
787,523,33270,2137,5,354,1
788,600,151640,8000,10,104,1
789,1066,90953,987,9,208,3
790,556,179220,1662,4,47,4
791,299,56929,2637,10,228,22
792,168,4718,3086,2,333,14
793,741,172671,1027,4,496,26
794,890,126952,520,10,301,2
795,290,133014,3483,2,121,23
796,1008,159049,6452,8,112,7
797,243,132153,6321,8,177,10
798,843,166403,5122,8,351,29
799,777,155342,138,1,93,30
800,1013,81641,1245,3,292,3
801,1001,121156,7779,1,446,6
802,894,80289,7805,9,426,16
803,1003,178350,2548,10,218,20
804,681,31848,5488,4,299,17
805,835,35148,2005,7,218,7
806,273,57374,2449,10,1,13
807,526,141372,2673,1,251,19
808,829,115425,4671,8,115,7
809,365,128790,5543,6,225,6
810,477,120566,2358,1,433,2
811,9,88566,3967,10,381,11
812,314,146965,1807,5,440,25
813,766,132668,1211,1,436,11
814,411,67753,402,2,50,2
815,114,70875,7520,5,232,16
816,36,42982,6280,3,399,2
817,742,73566,7374,5,336,17
818,870,70722,7848,8,52,29
819,141,141020,5673,2,252,22
820,607,71695,2404,2,159,16
821,796,75846,1306,8,337,10
822,981,25456,3276,10,443,9
823,391,152704,3108,8,168,9
824,735,43513,2177,1,351,13
825,521,45375,3380,5,38,18
826,558,103516,5342,2,318,18
827,857,163533,7043,5,474,22
828,895,106254,1293,8,158,27
829,541,143366,745,9,75,1
830,439,70776,1225,6,148,7
831,705,49138,7182,3,399,30
832,221,41531,6055,5,278,13
833,1058,132683,1345,2,225,12
834,26,18635,3562,3,70,25
835,748,163531,1651,5,359,8
836,110,127971,1831,1,413,28
837,832,34522,7729,5,282,2
838,613,18604,6538,5,35,8
839,721,11373,7542,5,392,8
840,10,50387,662,2,354,18
841,976,100866,196,6,108,21
842,974,2696,4157,10,77,26
843,860,101116,2330,6,89,12
844,21,168625,4111,6,160,14
845,774,176101,7934,1,98,11
846,943,170931,938,8,155,18
847,111,161092,5679,5,272,29
848,923,108759,2107,3,479,4
849,225,100248,1182,9,70,12
850,582,57365,1372,7,386,11
851,427,89669,7061,4,366,4
852,650,149955,4444,5,232,22
853,834,111920,5121,1,327,18
854,597,105265,674,5,479,4
855,671,76216,7841,6,497,27
856,246,23481,7605,10,475,15
857,435,102928,417,4,492,8
858,715,54123,3361,6,123,18
859,817,80197,5707,5,145,17
860,901,128787,1445,4,173,8
861,979,41411,7749,4,430,5
862,931,132147,4332,9,153,2
863,190,64621,7900,6,253,15
864,196,36378,4456,1,151,11
865,384,42162,4937,4,218,10
866,611,105989,6994,10,326,3
867,1042,21487,4266,3,93,8
868,642,98453,6190,2,37,21
869,480,164477,4687,1,437,27
870,623,48084,7217,3,307,5
871,821,99899,6138,10,327,13
