DeliveryID,TransporterID,DepartureDate,ArrivalDate,Distance_km,Cost,SKU,Quantity
D10059,T011,2023-08-04,2023-08-05,1615,2247.13,SKU-228,87
D10060,T010,2023-09-25,2023-10-06,1047,930.81,SKU-501,116
D10061,T002,2023-07-18,2023-07-29,1042,1149.02,SKU-396,40
D10062,T007,2023-02-21,2023-03-03,900,1388.35,SKU-120,148
D10063,T005,2023-10-02,2023-10-07,868,626.74,SKU-158,129
D10064,T004,2023-02-17,2023-03-01,1614,1495.07,SKU-078,140
D10065,T001,2023-09-16,2023-09-21,465,547.16,SKU-515,7
D10066,T002,2023-06-11,2023-06-12,1773,2389.66,SKU-212,6
D10067,T004,2023-05-04,2023-05-10,409,314.48,SKU-066,42
D10068,T005,2023-09-23,2023-09-28,1744,1317.36,SKU-547,18
D10069,T010,2023-04-04,2023-04-19,998,943.11,SKU-383,49
D10070,T008,2023-08-13,2023-08-24,407,563.71,SKU-205,142
D10071,T006,2023-01-06,2023-01-12,137,228.98,SKU-178,170
D10072,T007,2023-02-21,2023-03-11,659,908.09,SKU-425,117
D10073,T005,2023-04-27,2023-05-04,1104,933.06,SKU-328,83
D10074,T001,2023-09-07,2023-09-24,1500,1790.87,SKU-460,125
D10075,T005,2023-07-08,2023-07-13,540,392.8,SKU-283,134
D10076,T009,2023-07-22,2023-07-27,58,84.04,SKU-501,167
D10077,T005,2023-04-25,2023-04-26,359,253.3,SKU-122,142
D10078,T006,2023-01-24,2023-02-08,1571,2138.84,SKU-438,108
D10079,T008,2023-08-02,2023-08-10,295,475.63,SKU-303,84
D10080,T010,2023-12-01,2023-12-05,1134,1094.64,SKU-396,48
D10081,T009,2023-09-19,2023-09-24,1701,2564.91,SKU-402,70
D10082,T012,2023-12-28,2024-01-10,436,674.99,SKU-206,56
D10083,T003,2023-03-04,2023-03-05,434,362.65,SKU-439,12
D10084,T003,2023-08-14,2023-08-24,1599,1169.83,SKU-033,91
D10085,T003,2023-07-02,2023-07-12,1145,871.35,SKU-513,191
D10086,T001,2023-10-19,2023-10-31,1763,2333.12,SKU-398,135
D10087,T009,2023-06-13,2023-06-27,1318,1984.05,SKU-254,127
D10088,T010,2023-12-24,2023-12-26,157,154.89,SKU-062,175
D10089,T012,2023-11-24,2023-11-30,535,764.88,SKU-173,118
D10090,T009,2023-01-22,2023-01-25,1408,2173.13,SKU-001,23
D10091,T009,2023-10-24,2023-10-30,1490,2486.17,SKU-333,89
D10092,T007,2023-08-21,2023-08-30,704,996.68,SKU-486,175
D10093,T004,2023-02-06,2023-02-17,240,201.96,SKU-567,97
D10094,T012,2023-09-03,2023-09-06,1589,2297.07,SKU-187,163
D10095,T007,2023-02-07,2023-02-14,420,667.46,SKU-457,200
D10096,T007,2023-10-13,2023-10-18,1264,1771.94,SKU-482,30
D10097,T011,2023-06-17,2023-06-26,1202,1909.26,SKU-231,25
D10098,T004,2023-03-22,2023-03-29,576,559.39,SKU-243,43
D10099,T009,2023-05-06,2023-05-17,518,845.43,SKU-490,162
D10100,T007,2023-10-15,2023-10-24,124,205.14,SKU-251,193
D10101,T003,2023-07-19,2023-07-31,42,29.11,SKU-235,102
D10102,T010,2023-08-04,2023-08-12,1474,1479.47,SKU-483,165
D10103,T012,2023-12-19,2023-12-28,1363,2068.15,SKU-452,57
D10104,T011,2023-04-28,2023-05-04,834,1388.21,SKU-353,55
D10105,T003,2023-04-14,2023-04-24,112,83.04,SKU-279,102
D10106,T009,2023-02-09,2023-02-23,1454,1991.7,SKU-442,182
D10107,T004,2023-12-22,2023-12-27,1053,891.06,SKU-064,145
D10108,T011,2023-01-01,2023-01-14,1492,2428.7,SKU-387,14
D10109,T008,2023-07-03,2023-07-04,599,1011.86,SKU-541,54
D10110,T012,2023-01-17,2023-01-29,613,880.22,SKU-216,149
D10111,T012,2023-06-01,2023-06-13,391,517.99,SKU-391,24
D10112,T008,2023-11-23,2023-11-26,1132,1958.67,SKU-558,136
D10113,T008,2023-11-09,2023-11-24,443,679.4,SKU-507,154
D10114,T001,2023-06-10,2023-06-20,1589,2363.15,SKU-559,102
D10115,T009,2023-04-10,2023-04-22,333,533.04,SKU-341,28
D10116,T012,2023-10-16,2023-10-24,153,193.46,SKU-271,134
D10117,T001,2023-10-02,2023-10-03,419,549.78,SKU-320,148
D10118,T002,2023-05-21,2023-05-22,587,622.99,SKU-597,20
D10119,T012,2023-05-18,2023-06-03,1282,2011.7,SKU-414,65
D10120,T005,2023-02-12,2023-02-23,1137,793.53,SKU-395,132
D10121,T010,2023-02-11,2023-02-22,109,93.06,SKU-272,117
D10122,T010,2023-03-20,2023-03-28,427,375.03,SKU-028,74
D10123,T001,2023-11-13,2023-11-19,1734,2245.27,SKU-432,114
D10124,T001,2023-08-08,2023-08-16,1332,1928.49,SKU-332,43
D10125,T010,2023-02-17,2023-02-22,723,648.93,SKU-547,184
D10126,T006,2023-03-07,2023-03-10,178,262.9,SKU-311,200
D10127,T002,2023-01-08,2023-01-22,844,1144.22,SKU-192,138
D10128,T005,2023-11-04,2023-11-09,132,109.18,SKU-444,72
D10129,T001,2023-02-28,2023-03-05,719,928.92,SKU-265,67
D10130,T012,2023-03-27,2023-04-03,1201,1690.5,SKU-368,76
D10131,T006,2023-09-04,2023-09-07,395,628.36,SKU-308,126
D10132,T008,2023-10-24,2023-10-25,1312,1860.33,SKU-210,121
D10133,T007,2023-03-26,2023-03-27,408,592.26,SKU-206,105
D10134,T001,2023-11-23,2023-12-07,1767,2071.2,SKU-448,158
D10135,T003,2023-08-22,2023-09-08,1735,1266.67,SKU-011,148
D10136,T003,2023-07-08,2023-07-16,1150,823.59,SKU-135,118
D10137,T007,2023-05-25,2023-05-31,1381,2135.4,SKU-293,163
D10138,T011,2023-07-17,2023-07-25,761,1125.07,SKU-275,181
D10139,T007,2023-10-16,2023-10-21,561,843.32,SKU-372,100
D10140,T006,2023-06-22,2023-06-29,1033,1339.21,SKU-547,132
D10141,T009,2023-06-01,2023-06-12,559,927.37,SKU-080,40
D10142,T007,2023-11-25,2023-11-27,640,1005.06,SKU-309,55
D10143,T007,2023-07-05,2023-07-15,1332,2336.74,SKU-565,182
D10144,T011,2023-08-19,2023-08-31,874,1341.19,SKU-358,30
D10145,T006,2023-10-16,2023-10-24,756,1200.73,SKU-172,56
D10146,T011,2023-10-12,2023-10-22,203,259.0,SKU-203,46
D10147,T001,2023-06-07,2023-06-10,931,1333.66,SKU-074,170
D10148,T012,2023-11-21,2023-11-29,1600,2256.12,SKU-221,104
D10149,T010,2023-09-23,2023-09-29,461,360.98,SKU-242,156
D10150,T009,2023-09-06,2023-09-10,1800,2775.55,SKU-097,138
D10151,T005,2023-12-17,2023-12-20,1672,1096.68,SKU-392,120
D10152,T005,2023-04-26,2023-05-07,941,680.97,SKU-249,156
D10153,T006,2023-10-17,2023-10-23,705,1180.46,SKU-476,148
D10154,T003,2023-05-27,2023-06-07,654,545.08,SKU-575,53
D10155,T002,2023-05-20,2023-05-24,1593,1831.51,SKU-271,179
D10156,T006,2023-08-21,2023-09-02,1618,2389.16,SKU-520,140
D10157,T006,2023-10-04,2023-10-09,1349,1916.48,SKU-449,155
D10158,T009,2023-01-02,2023-01-15,1630,2357.3,SKU-206,187
D10159,T007,2023-07-15,2023-07-26,477,798.56,SKU-584,195
D10160,T011,2023-06-21,2023-06-30,674,1011.63,SKU-254,163
D10161,T011,2023-01-18,2023-01-25,936,1461.66,SKU-572,144
D10162,T011,2023-06-07,2023-06-11,1265,1692.83,SKU-548,186
D10163,T010,2023-02-05,2023-02-11,1052,934.61,SKU-127,70
D10164,T006,2023-04-03,2023-04-20,331,519.38,SKU-048,129
D10165,T002,2023-03-22,2023-03-25,1602,1754.49,SKU-397,81
D10166,T009,2023-09-15,2023-09-29,696,1136.0,SKU-388,33
D10167,T010,2023-07-23,2023-07-31,826,704.76,SKU-365,34
D10168,T003,2023-05-04,2023-05-10,53,45.37,SKU-527,111
D10169,T012,2023-06-23,2023-06-30,447,712.27,SKU-380,71
D10170,T003,2023-01-21,2023-02-09,245,197.15,SKU-458,36
D10171,T007,2023-09-13,2023-09-18,1765,2642.84,SKU-075,62
D10172,T004,2023-11-03,2023-11-18,1368,1125.09,SKU-388,6
D10173,T011,2023-06-23,2023-06-24,764,1012.8,SKU-153,142
D10174,T009,2023-11-28,2023-12-10,1301,2083.11,SKU-093,162
D10175,T005,2023-06-19,2023-06-26,645,437.07,SKU-095,32
D10176,T004,2023-10-13,2023-10-18,1486,1181.47,SKU-366,112
D10177,T005,2023-11-04,2023-11-09,1455,1066.21,SKU-046,92
D10178,T011,2023-12-03,2023-12-07,897,1469.46,SKU-071,163
D10179,T012,2023-05-13,2023-05-23,686,895.93,SKU-235,200
D10180,T004,2023-06-17,2023-06-18,98,92.72,SKU-369,144
D10181,T012,2023-12-06,2023-12-13,1209,1557.35,SKU-358,86
D10182,T005,2023-05-10,2023-05-13,463,358.36,SKU-299,10
D10183,T008,2023-09-03,2023-09-07,1008,1752.48,SKU-342,36
D10184,T002,2023-01-20,2023-01-27,404,554.17,SKU-045,52
D10185,T011,2023-06-03,2023-06-14,315,501.43,SKU-526,36
D10186,T006,2023-01-18,2023-01-22,1512,2149.79,SKU-440,84
D10187,T006,2023-10-27,2023-11-03,485,645.46,SKU-122,91
D10188,T012,2023-10-25,2023-10-26,1033,1326.75,SKU-017,45
D10189,T004,2023-06-03,2023-06-04,1492,1199.11,SKU-539,121
D10190,T001,2023-12-16,2023-12-17,1599,2184.53,SKU-503,16
D10191,T004,2023-07-16,2023-07-26,684,658.49,SKU-052,38
D10192,T008,2023-12-07,2023-12-22,756,1322.27,SKU-242,167
D10193,T001,2023-09-15,2023-09-19,1289,1550.46,SKU-598,182
D10194,T011,2023-01-17,2023-01-26,997,1439.57,SKU-418,144
D10195,T007,2023-02-18,2023-02-28,106,172.35,SKU-542,96
D10196,T011,2023-05-01,2023-05-14,813,1026.57,SKU-375,111
D10197,T003,2023-01-24,2023-01-25,612,439.16,SKU-537,100
D10198,T005,2023-01-24,2023-01-28,1483,1189.36,SKU-450,191
D10199,T001,2023-10-22,2023-11-05,1274,1845.81,SKU-172,161
D10200,T010,2023-03-15,2023-03-26,195,173.91,SKU-535,24
D10201,T004,2023-05-03,2023-05-18,1771,1353.67,SKU-107,98
D10202,T001,2023-11-02,2023-11-10,1534,2088.13,SKU-461,92
D10203,T002,2023-05-26,2023-05-27,666,758.68,SKU-288,50
D10204,T011,2023-08-06,2023-08-12,1482,2026.25,SKU-047,166
D10205,T009,2023-01-14,2023-01-18,506,711.29,SKU-045,17
D10206,T001,2023-10-12,2023-10-14,653,778.18,SKU-495,172
D10207,T005,2023-09-20,2023-10-03,703,556.52,SKU-224,132
D10208,T007,2023-05-23,2023-05-25,1721,2713.39,SKU-517,65
D10209,T003,2023-09-22,2023-10-01,955,635.57,SKU-158,53
D10210,T011,2023-05-05,2023-05-10,1646,2725.52,SKU-187,131
D10211,T002,2023-05-22,2023-05-27,145,167.69,SKU-338,41
D10212,T005,2023-12-15,2023-12-16,1703,1092.27,SKU-211,160
D10213,T012,2023-08-09,2023-08-13,656,1024.15,SKU-442,176
D10214,T007,2023-03-12,2023-03-28,327,554.58,SKU-096,120
D10215,T005,2023-08-18,2023-09-03,1365,983.67,SKU-060,39
D10216,T011,2023-05-03,2023-05-18,1495,2239.58,SKU-576,86
D10217,T011,2023-03-06,2023-03-07,1042,1701.56,SKU-579,152
D10218,T005,2023-08-19,2023-08-29,160,123.78,SKU-465,123
D10219,T011,2023-07-14,2023-07-22,934,1229.89,SKU-003,52
D10220,T001,2023-06-22,2023-07-04,56,80.64,SKU-596,58
D10221,T005,2023-02-17,2023-02-20,756,571.93,SKU-590,78
D10222,T007,2023-12-20,2024-01-03,1657,2301.04,SKU-539,197
D10223,T003,2023-06-06,2023-06-20,56,46.1,SKU-286,92
D10224,T004,2023-12-09,2023-12-25,1390,1154.24,SKU-347,117
D10225,T005,2023-09-07,2023-09-25,1613,1323.13,SKU-226,148
D10226,T012,2023-11-06,2023-11-10,75,90.88,SKU-253,69
D10227,T007,2023-10-03,2023-10-11,1080,1650.92,SKU-177,168
D10228,T009,2023-12-02,2023-12-18,297,397.0,SKU-509,62
D10229,T001,2023-11-21,2023-11-29,1514,2108.88,SKU-595,191
D10230,T011,2023-08-13,2023-08-24,1601,2296.61,SKU-283,109
D10231,T012,2023-02-25,2023-03-10,981,1437.78,SKU-515,161
D10232,T007,2023-08-02,2023-08-06,220,366.46,SKU-032,89
D10233,T003,2023-12-12,2023-12-13,127,98.76,SKU-097,13
D10234,T011,2023-01-18,2023-01-26,1375,1801.16,SKU-183,8
D10235,T005,2023-10-24,2023-11-01,776,640.0,SKU-395,37
D10236,T004,2023-11-01,2023-11-18,644,569.67,SKU-565,24
D10237,T008,2023-05-21,2023-05-27,1481,2560.49,SKU-472,89
D10238,T001,2023-06-13,2023-06-24,1567,2247.49,SKU-221,157
D10239,T002,2023-10-11,2023-10-13,1253,1637.72,SKU-425,179
D10240,T002,2023-06-16,2023-06-25,492,667.98,SKU-424,8
D10241,T003,2023-01-02,2023-01-09,1755,1152.62,SKU-517,106
D10242,T007,2023-11-13,2023-11-17,167,233.41,SKU-600,69
D10243,T003,2023-08-15,2023-08-19,607,502.5,SKU-298,43
D10244,T010,2023-09-16,2023-09-20,807,761.62,SKU-139,135
D10245,T005,2023-02-12,2023-02-24,799,619.85,SKU-109,150
D10246,T011,2023-06-07,2023-06-26,1415,2219.92,SKU-472,172
D10247,T010,2023-01-01,2023-01-06,683,676.21,SKU-296,14
D10248,T010,2023-01-20,2023-01-30,490,402.48,SKU-429,29
D10249,T011,2023-06-22,2023-06-27,1245,1778.78,SKU-542,99
D10250,T004,2023-11-05,2023-11-06,479,470.79,SKU-175,115
D10251,T003,2023-03-10,2023-03-15,413,285.28,SKU-243,189
D10252,T009,2023-01-11,2023-01-15,1759,2383.27,SKU-291,163
D10253,T009,2023-02-24,2023-03-06,945,1328.46,SKU-146,148
D10254,T009,2023-02-19,2023-02-24,1135,1878.93,SKU-595,175
D10255,T005,2023-08-12,2023-08-17,1156,856.3,SKU-198,124
D10256,T011,2023-02-22,2023-03-01,1680,2595.95,SKU-448,120
D10257,T008,2023-11-24,2023-12-08,584,1045.73,SKU-154,119
D10258,T004,2023-06-09,2023-06-20,940,873.72,SKU-095,143
D10259,T005,2023-11-16,2023-11-27,570,368.45,SKU-258,31
D10260,T011,2023-03-28,2023-04-13,473,792.58,SKU-589,170
D10261,T003,2023-08-14,2023-08-15,1556,1113.25,SKU-540,2
D10262,T010,2023-12-13,2023-12-16,1300,1131.09,SKU-132,79
D10263,T012,2023-05-25,2023-05-30,104,126.37,SKU-489,196
D10264,T010,2023-07-07,2023-07-17,115,97.59,SKU-259,68
D10265,T003,2023-10-01,2023-10-07,1488,1036.41,SKU-495,159
D10266,T011,2023-06-16,2023-06-29,1597,2400.68,SKU-401,70
D10267,T003,2023-02-17,2023-02-23,432,290.01,SKU-073,32
D10268,T012,2023-02-11,2023-02-14,1122,1479.21,SKU-169,129
D10269,T005,2023-10-25,2023-11-03,1535,1305.93,SKU-055,19
D10270,T003,2023-06-14,2023-06-21,1152,953.35,SKU-480,54
D10271,T002,2023-09-02,2023-09-17,961,1033.91,SKU-357,124
D10272,T001,2023-03-27,2023-04-11,250,336.31,SKU-341,117
D10273,T011,2023-01-03,2023-01-04,978,1554.5,SKU-167,10
D10274,T008,2023-04-06,2023-04-10,1098,1646.78,SKU-327,90
D10275,T007,2023-06-13,2023-06-15,553,847.92,SKU-117,95
D10276,T012,2023-08-26,2023-09-02,722,1030.66,SKU-188,138
D10277,T011,2023-09-14,2023-09-24,353,587.38,SKU-475,139
D10278,T012,2023-02-08,2023-02-26,127,192.09,SKU-178,136
D10279,T005,2023-04-14,2023-04-19,1224,994.99,SKU-404,125
D10280,T003,2023-03-01,2023-03-02,1148,991.15,SKU-438,173
D10281,T009,2023-03-21,2023-04-05,1086,1727.08,SKU-493,196
D10282,T011,2023-03-28,2023-04-09,292,414.81,SKU-375,148
D10283,T007,2023-05-15,2023-05-21,974,1395.38,SKU-108,25
D10284,T004,2023-09-13,2023-09-18,188,186.32,SKU-175,107
D10285,T005,2023-07-21,2023-07-26,929,709.6,SKU-150,141
D10286,T008,2023-08-28,2023-09-13,196,337.93,SKU-077,91
D10287,T004,2023-03-24,2023-03-31,273,228.9,SKU-167,149
D10288,T004,2023-10-27,2023-11-08,1539,1380.64,SKU-459,137
D10289,T003,2023-01-06,2023-01-11,185,142.93,SKU-064,124
D10290,T003,2023-06-09,2023-06-22,648,557.35,SKU-261,2
D10291,T001,2023-06-18,2023-07-02,825,1038.04,SKU-079,85
D10292,T001,2023-10-18,2023-11-05,968,1418.02,SKU-522,128
D10293,T011,2023-01-24,2023-01-29,797,1212.26,SKU-184,142
D10294,T002,2023-12-27,2024-01-01,338,384.64,SKU-010,42
D10295,T004,2023-11-05,2023-11-06,1205,1038.49,SKU-488,162
D10296,T012,2023-02-08,2023-02-16,1036,1534.58,SKU-056,79
D10297,T009,2023-11-15,2023-11-23,249,361.77,SKU-128,37
D10298,T007,2023-09-20,2023-09-30,1529,2561.4,SKU-133,34
D10299,T007,2023-05-10,2023-05-23,370,553.22,SKU-062,90
D10300,T009,2023-04-14,2023-04-24,1394,2146.12,SKU-244,120
D10301,T006,2023-11-22,2023-11-30,676,1154.22,SKU-087,169
D10302,T005,2023-05-06,2023-05-12,123,97.18,SKU-140,117
D10303,T011,2023-02-05,2023-02-12,87,126.65,SKU-091,156
D10304,T004,2023-12-08,2023-12-20,470,394.6,SKU-170,47
D10305,T001,2023-02-15,2023-02-17,1494,1868.74,SKU-062,37
D10306,T006,2023-03-09,2023-03-27,1443,2035.87,SKU-536,49
D10307,T009,2023-04-03,2023-04-11,884,1174.89,SKU-361,56
D10308,T012,2023-05-03,2023-05-14,211,304.1,SKU-326,32
D10309,T004,2023-12-12,2023-12-21,1668,1543.74,SKU-153,166
D10310,T008,2023-03-02,2023-03-18,1064,1721.23,SKU-281,136
D10311,T004,2023-08-05,2023-08-12,660,513.4,SKU-261,163
D10312,T004,2023-04-07,2023-04-12,1737,1318.14,SKU-015,100
D10313,T002,2023-11-09,2023-11-14,171,191.41,SKU-369,49
D10314,T005,2023-08-04,2023-08-15,1354,1084.46,SKU-289,123
D10315,T006,2023-10-19,2023-10-20,1674,2511.07,SKU-358,152
D10316,T012,2023-07-23,2023-07-29,54,81.4,SKU-598,96
D10317,T003,2023-11-12,2023-11-21,451,299.13,SKU-584,7
D10318,T007,2023-08-04,2023-08-09,749,1255.31,SKU-037,67
D10319,T008,2023-07-01,2023-07-07,732,1145.45,SKU-346,8
D10320,T010,2023-02-16,2023-02-23,1412,1406.6,SKU-316,129
D10321,T011,2023-07-07,2023-07-14,948,1389.41,SKU-237,95
D10322,T012,2023-11-27,2023-12-07,170,207.09,SKU-252,35
D10323,T003,2023-08-03,2023-08-09,613,414.35,SKU-509,160
D10324,T010,2023-01-03,2023-01-08,362,315.88,SKU-049,125
D10325,T001,2023-01-05,2023-01-09,1612,2312.41,SKU-266,56
D10326,T003,2023-10-26,2023-11-14,44,35.72,SKU-527,119
D10327,T002,2023-08-02,2023-08-10,897,1031.56,SKU-055,141
D10328,T010,2023-07-16,2023-07-18,563,544.12,SKU-114,11
D10329,T012,2023-03-12,2023-03-18,1453,1911.81,SKU-317,190
D10330,T002,2023-09-01,2023-09-11,1510,2111.17,SKU-170,175
D10331,T010,2023-04-20,2023-05-06,1135,1003.88,SKU-542,122
D10332,T007,2023-09-23,2023-10-01,1107,1630.29,SKU-071,158
D10333,T004,2023-01-19,2023-01-29,1312,1203.4,SKU-585,24
D10334,T010,2023-07-04,2023-07-09,1040,1011.75,SKU-229,53
D10335,T005,2023-02-24,2023-03-02,222,187.4,SKU-465,16
D10336,T003,2023-05-16,2023-05-26,626,538.89,SKU-158,11
D10337,T004,2023-03-10,2023-03-19,624,592.63,SKU-239,79
D10338,T005,2023-05-21,2023-05-25,274,227.69,SKU-117,40
D10339,T004,2023-06-07,2023-06-14,155,135.09,SKU-124,84
D10340,T002,2023-08-03,2023-08-06,462,561.93,SKU-138,150
D10341,T008,2023-05-03,2023-05-07,1046,1447.99,SKU-168,162
D10342,T011,2023-04-03,2023-04-07,1356,2029.21,SKU-441,1
D10343,T008,2023-02-09,2023-02-18,862,1247.0,SKU-141,66
D10344,T008,2023-02-12,2023-02-16,163,250.07,SKU-430,84
D10345,T010,2023-08-23,2023-08-24,310,313.62,SKU-536,91
D10346,T009,2023-02-04,2023-02-12,413,684.35,SKU-312,149
D10347,T007,2023-12-12,2023-12-13,1371,2136.66,SKU-502,74
D10348,T001,2023-05-28,2023-06-11,396,505.6,SKU-530,89
D10349,T005,2023-08-25,2023-08-31,1605,1093.56,SKU-051,42
D10350,T011,2023-08-08,2023-08-20,401,620.62,SKU-427,95
D10351,T001,2023-07-01,2023-07-02,735,869.87,SKU-408,2
D10352,T001,2023-05-04,2023-05-14,1777,2469.28,SKU-380,19
D10353,T012,2023-09-16,2023-10-01,742,999.86,SKU-234,35
D10354,T010,2023-04-03,2023-04-15,336,260.81,SKU-364,29
D10355,T009,2023-09-18,2023-10-04,149,243.84,SKU-423,14
D10356,T003,2023-08-02,2023-08-10,95,72.0,SKU-204,175
D10357,T006,2023-02-07,2023-02-09,1203,1891.8,SKU-225,113
D10358,T009,2023-12-19,2023-12-24,263,375.58,SKU-178,138
D10359,T003,2023-01-18,2023-01-24,346,247.11,SKU-446,53
D10360,T010,2023-03-26,2023-03-31,71,54.98,SKU-275,72
D10361,T003,2023-10-03,2023-10-06,569,377.53,SKU-299,155
D10362,T001,2023-01-03,2023-01-13,501,613.3,SKU-547,32
D10363,T005,2023-12-19,2023-12-29,740,626.15,SKU-523,169
D10364,T011,2023-11-15,2023-11-24,1523,1985.03,SKU-077,159
D10365,T004,2023-02-12,2023-02-20,1433,1193.19,SKU-510,76
D10366,T002,2023-12-03,2023-12-17,1510,1657.29,SKU-112,133
D10367,T002,2023-06-20,2023-06-29,419,500.12,SKU-182,71
D10368,T012,2023-11-03,2023-11-12,111,160.36,SKU-319,112
D10369,T001,2023-05-09,2023-05-18,105,149.55,SKU-445,22
D10370,T010,2023-03-13,2023-03-29,927,762.62,SKU-316,150
D10371,T008,2023-09-03,2023-09-14,1108,1729.19,SKU-244,42
D10372,T003,2023-11-09,2023-11-15,1715,1219.45,SKU-519,20
D10373,T004,2023-09-25,2023-10-03,1054,944.47,SKU-189,51
D10374,T008,2023-04-16,2023-04-18,1364,2218.31,SKU-068,110
D10375,T003,2023-10-09,2023-10-16,1609,1282.94,SKU-566,3
D10376,T003,2023-06-02,2023-06-09,1669,1332.8,SKU-447,196
D10377,T003,2023-11-02,2023-11-20,120,94.38,SKU-567,92
D10378,T005,2023-06-17,2023-06-21,732,606.09,SKU-006,185
D10379,T008,2023-12-28,2024-01-10,1682,2668.71,SKU-309,70
D10380,T011,2023-05-03,2023-05-09,832,1049.64,SKU-207,109
D10381,T005,2023-11-13,2023-11-26,1197,882.98,SKU-035,53
D10382,T011,2023-09-21,2023-09-24,124,174.95,SKU-531,38
D10383,T006,2023-03-21,2023-03-25,1501,2103.58,SKU-012,132
D10384,T004,2023-08-18,2023-08-24,1699,1467.86,SKU-110,142
D10385,T012,2023-11-10,2023-11-12,1336,1771.62,SKU-280,147
D10386,T007,2023-06-10,2023-06-16,148,209.33,SKU-282,155
